metodo_extraccion,aislamiento,replica,crecimiento_micelial_mm,porcentaje_inhibicion_micelial,conidias_log10_ml,porcentaje_inhibicion_conidias,control_crecimiento_mm,control_conidias_log10
soxhlet,FUSARIUM MARCE 1.2,1,20,66.66666666666667,7.08,8.997429305912599,60.0,7.78
soxhlet,FUSARIUM MARCE 1.2,2,26,56.66666666666666,6.57,15.55269922879177,60.0,7.78
soxhlet,FUSARIUM MARCE 1.2,3,20,66.66666666666667,6.72,13.62467866323908,60.0,7.78
ultrasonido,HC3,1,35,48.52941176470588,6.96,9.610389610389614,68.0,7.7
ultrasonido,HC3,2,15,77.94117647058823,6.34,17.66233766233767,68.0,7.7
ultrasonido,HC3,3,31,54.41176470588236,7.67,0.3896103896103928,68.0,7.7
ultrasonido,HC5,1,14,69.56521739130434,7.69,-16.51515151515153,46.0,6.6
ultrasonido,HC5,2,14,69.56521739130434,7.61,-15.30303030303032,46.0,6.6
ultrasonido,HC5,3,22,52.17391304347826,7.65,-15.90909090909092,46.0,6.6
ultrasonido,HC6,1,37,31.48148148148148,7.23,2.691790040376841,54.0,7.43
ultrasonido,HC6,2,28,48.14814814814815,7.31,1.615074024226112,54.0,7.43
ultrasonido,HC6,3,37,31.48148148148148,7.33,1.345895020188421,54.0,7.43
ultrasonido,HC9,1,26,59.375,7.73,-6.915629322268326,64.0,7.23
ultrasonido,HC9,2,26,59.375,6.48,10.37344398340249,64.0,7.23
ultrasonido,HC9,3,24,62.5,7.62,-5.394190871369291,64.0,7.23
ultrasonido,HC10,1,24,60.0,7.27,-3.267045454545448,60.0,7.04
ultrasonido,HC10,2,24,60.0,7.49,-6.392045454545457,60.0,7.04
ultrasonido,HC10,3,32,46.66666666666666,7.76,-10.22727272727272,60.0,7.04
ultrasonido,HC15,1,26,56.66666666666666,8.08,-5.897771952817826,60.0,7.63
ultrasonido,HC15,2,24,60.0,7.95,-4.193971166448234,60.0,7.63
ultrasonido,HC15,3,34,43.33333333333334,8.01,-4.980340760157272,60.0,7.63
ultrasonido,HC16,1,24,58.62068965517241,8.1,-18.24817518248175,58.0,6.85
ultrasonido,HC16,2,18,68.96551724137932,8.09,-18.1021897810219,58.0,6.85
ultrasonido,HC16,3,32,44.82758620689656,8.65,-26.27737226277373,58.0,6.85
ultrasonido,HC17,1,37,50.66666666666666,7.52,2.083333333333335,75.0,7.68
ultrasonido,HC17,2,26,65.33333333333333,7.46,2.86458333333333,75.0,7.68
ultrasonido,HC17,3,36,52.0,7.29,5.078124999999996,75.0,7.68
ultrasonido,HC19,1,30,34.78260869565217,7.45,-7.97101449275362,46.0,6.9
ultrasonido,HC19,2,26,43.47826086956522,7.32,-6.086956521739129,46.0,6.9
ultrasonido,HC19,3,34,26.08695652173913,7.85,-13.76811594202897,46.0,6.9
ultrasonido,HC20,1,20,56.52173913043478,7.63,0.6510416666666644,46.0,7.68
ultrasonido,HC20,2,20,56.52173913043478,7.46,2.86458333333333,46.0,7.68
ultrasonido,HC20,3,28,39.1304347826087,7.64,0.5208333333333338,46.0,7.68
ultrasonido,HC23,1,26,55.17241379310344,6.9,4.564315352697096,58.0,7.23
ultrasonido,HC23,2,20,65.51724137931035,7.09,1.936376210235139,58.0,7.23
ultrasonido,HC23,3,32,44.82758620689656,7.45,-3.04287690179806,58.0,7.23
ultrasonido,HC26,1,20,64.91228070175438,7.43,1.458885941644567,57.0,7.54
ultrasonido,HC26,2,16,71.9298245614035,7.53,0.1326259946949574,57.0,7.54
ultrasonido,HC26,3,28,50.87719298245614,7.59,-0.6631299734747987,57.0,7.54
ultrasonido,HC27,1,30,40.0,7.92,-0.6353240152477742,50.0,7.87
ultrasonido,HC27,2,24,52.0,7.03,10.67344345616264,50.0,7.87
ultrasonido,HC27,3,34,32.0,8.13,-3.303684879288446,50.0,7.87
ultrasonido,HC28,1,18,64.0,8.12,-7.692307692307681,50.0,7.54
ultrasonido,HC28,2,20,60.0,8.0,-6.10079575596817,50.0,7.54
ultrasonido,HC28,3,26,48.0,7.84,-3.978779840848804,50.0,7.54
ultrasonido,H4B,1,30,55.88235294117647,7.95,0.250941028858213,68.0,7.97
ultrasonido,H4B,2,20,70.58823529411765,7.74,2.885821831869505,68.0,7.97
ultrasonido,H4B,3,30,55.88235294117647,7.95,0.250941028858213,68.0,7.97
ultrasonido,H6B,1,30,53.84615384615385,6.93,12.72040302267003,65.0,7.94
ultrasonido,H6B,2,13,80.0,7.14,10.07556675062973,65.0,7.94
ultrasonido,H6B,3,29,55.38461538461539,7.93,0.12594458438288,65.0,7.94
ultrasonido,H4G,1,30,44.44444444444444,7.74,-1.044386422976502,54.0,7.66
ultrasonido,H4G,2,13,75.92592592592592,7.17,6.396866840731073,54.0,7.66
ultrasonido,H4G,3,28,48.14814814814815,7.85,-2.480417754569184,54.0,7.66
ultrasonido,H8G,1,19,36.66666666666666,6.85,-9.951845906902074,30.0,6.23
ultrasonido,H8G,2,19,36.66666666666666,7.4,-18.7800963081862,30.0,6.23
ultrasonido,H8G,3,17,43.33333333333334,7.32,-17.49598715890851,30.0,6.23
ultrasonido,H11G,1,19,26.92307692307692,6.51,-5.33980582524272,26.0,6.18
ultrasonido,H11G,2,12,53.84615384615385,6.72,-8.737864077669903,26.0,6.18
ultrasonido,H11G,3,18,30.76923076923077,7.07,-14.40129449838189,26.0,6.18
ultrasonido,H1N,1,20,60.0,7.52,-0.8042895442359197,50.0,7.46
ultrasonido,H1N,2,20,60.0,7.28,2.412868632707771,50.0,7.46
ultrasonido,H1N,3,32,36.0,7.2,3.485254691689005,50.0,7.46
ultrasonido,H2N,1,16,70.37037037037037,7.98,0.6226650062266368,54.0,8.03
ultrasonido,H2N,2,18,66.66666666666667,8.13,-1.245330012453318,54.0,8.03
ultrasonido,H2N,3,18,66.66666666666667,7.9,1.618929016189278,54.0,8.03
ultrasonido,H3N,1,20,60.0,7.44,2.872062663185375,50.0,7.66
ultrasonido,H3N,2,18,64.0,7.43,3.002610966057447,50.0,7.66
ultrasonido,H3N,3,26,48.0,7.95,-3.785900783289818,50.0,7.66
ultrasonido,H4N,1,20,65.51724137931035,6.81,3.267045454545461,58.0,7.04
ultrasonido,H4N,2,18,68.96551724137932,6.83,2.982954545454545,58.0,7.04
ultrasonido,H4N,3,26,55.17241379310344,7.18,-1.988636363636359,58.0,7.04
ultrasonido,H5N,1,20,66.66666666666667,7.11,8.494208494208486,60.0,7.77
ultrasonido,H5N,2,18,70.0,6.81,12.35521235521236,60.0,7.77
ultrasonido,H5N,3,30,50.0,6.82,12.22651222651222,60.0,7.77
ultrasonido,H6N,1,18,64.0,7.19,6.380208333333324,50.0,7.68
ultrasonido,H6N,2,18,64.0,6.18,19.53125,50.0,7.68
ultrasonido,H6N,3,24,52.0,7.52,2.083333333333335,50.0,7.68
ultrasonido,H8N,1,36,51.35135135135135,7.23,5.736636245110815,74.0,7.67
ultrasonido,H8N,2,18,75.67567567567568,6.89,10.16949152542373,74.0,7.67
ultrasonido,H8N,3,32,56.75675675675676,7.18,6.388526727509781,74.0,7.67
ultrasonido,H9N,1,36,48.57142857142857,7.45,1.585204755614268,70.0,7.57
ultrasonido,H9N,2,18,74.28571428571429,7.24,4.359313077939235,70.0,7.57
ultrasonido,H9N,3,31,55.71428571428572,7.03,7.133421400264201,70.0,7.57
ultrasonido,FU1,1,35,45.3125,7.38,4.651162790697678,64.0,7.74
ultrasonido,FU1,2,24,62.5,7.51,2.971576227390186,64.0,7.74
ultrasonido,FU1,3,37,42.1875,7.42,4.134366925064603,64.0,7.74
ultrasonido,FU2 (UCMU21),1,37,42.1875,6.65,4.316546762589925,64.0,6.95
ultrasonido,FU2 (UCMU21),2,36,43.75,7.41,-6.618705035971223,64.0,6.95
ultrasonido,FU2 (UCMU21),3,36,43.75,7.31,-5.179856115107905,64.0,6.95
ultrasonido,FUSARIUM JULIAN H20,1,28,58.8235294117647,6.94,-0.5797101449275367,68.0,6.9
ultrasonido,FUSARIUM JULIAN H20,2,12,82.3529411764706,5.48,20.57971014492754,68.0,6.9
ultrasonido,FUSARIUM JULIAN H20,3,23,66.17647058823529,6.76,2.028985507246385,68.0,6.9
ultrasonido,FUSARIUM MARCE 1.2,1,34,43.33333333333334,7.2,7.455012853470437,60.0,7.78
ultrasonido,FUSARIUM MARCE 1.2,2,20,66.66666666666667,6.8,12.59640102827764,60.0,7.78
ultrasonido,FUSARIUM MARCE 1.2,3,36,40.0,7.09,8.868894601542422,60.0,7.78
