Metodo de extraccion,Aislamiento,Replica,Crecimiento micelial (mm),%INH micelial,Conidias (log10/ml),%INH conidias
Soxhlet,HC28,R3,24,52,6.57,12.864721485411136
Soxhlet,H4B,R1,20,70.58823529411765,7.21,9.535759096612292
Soxhlet,H4B,R2,18,73.52941176470588,7.15,10.288582183186945
Soxhlet,H4B,R3,14,79.41176470588235,7.51,5.771643663739021
Soxhlet,H6B,R1,14,78.46153846153847,6.28,20.906801007556673
Soxhlet,H6B,R2,16,75.38461538461539,7.41,6.675062972292195
Soxhlet,H6B,R3,16,75.38461538461539,7.15,9.94962216624685
Soxhlet,H4G,R1,14,74.07407407407408,7.11,7.180156657963445
Soxhlet,H4G,R2,20,62.96296296296296,6.78,11.488250652741513
Soxhlet,H4G,R3,20,62.96296296296296,6.82,10.96605744125326
Soxhlet,H8G,R1,20,33.333333333333336,7.79,-25.04012841091492
Soxhlet,H8G,R2,16,46.666666666666664,8.26,-32.584269662921336
Soxhlet,H8G,R3,11,63.333333333333336,7.11,-14.12520064205457
Soxhlet,H11G,R1,12,53.84615384615385,6.92,-11.974110032362464
Soxhlet,H11G,R2,12,53.84615384615385,6.02,2.588996763754048
Soxhlet,H11G,R3,11,57.69230769230769,7.42,-20.064724919093855
Soxhlet,H1N,R1,28,44,7.47,-0.1340482573726513
Soxhlet,H1N,R2,16,68,6.85,8.176943699731908
Soxhlet,H1N,R3,28,44,7.38,1.0723860589812342
Soxhlet,H2N,R1,26,51.851851851851855,7.49,6.72478206724781
Soxhlet,H2N,R2,12,77.77777777777777,7.04,12.328767123287664
Soxhlet,H2N,R3,26,51.851851851851855,7.69,4.234122042341208
Soxhlet,H3N,R1,24,52,7.6,0.7832898172323824
Soxhlet,H3N,R2,12,76,6.96,9.138381201044387
Soxhlet,H3N,R3,26,48,7.72,-0.7832898172323709
Soxhlet,H4N,R1,22,62.06896551724138,6.51,7.528409090909095
Soxhlet,H4N,R2,14,75.86206896551724,6.4,9.090909090909086
Soxhlet,H4N,R3,24,58.62068965517241,6.93,1.5625000000000044
Soxhlet,H5N,R1,26,56.666666666666664,6.15,20.849420849420838
Soxhlet,H5N,R2,16,73.33333333333333,5.9,24.066924066924056
Soxhlet,H5N,R3,26,56.666666666666664,6.34,18.404118404118403
Soxhlet,H6N,R1,30,40,7.41,3.5156249999999947
Soxhlet,H6N,R2,16,68,7.1,7.552083333333335
Soxhlet,H6N,R3,26,48,6.62,13.802083333333329
Soxhlet,H8N,R1,22,70.27027027027027,5.85,23.728813559322038
Soxhlet,H8N,R2,20,72.97297297297297,7.86,-2.4771838331160416
Soxhlet,H8N,R3,14,81.08108108108108,7.46,2.737940026075619
Soxhlet,H9N,R1,30,57.142857142857146,6.77,10.568031704095121
Soxhlet,H9N,R2,22,68.57142857142857,6.91,8.71862615587847
Soxhlet,H9N,R3,16,77.14285714285714,7.23,4.491413474240421
Soxhlet,FU1,R1,34,46.875,7.19,7.1059431524547785
Soxhlet,FU1,R2,30,53.125,7.44,3.8759689922480596
Soxhlet,FU1,R3,20,68.75,7.11,8.139534883720929
Soxhlet,FU2 (UCMU21),R1,20,68.75,7.07,-1.7266187050359727
Soxhlet,FU2 (UCMU21),R2,20,68.75,6.78,2.446043165467625
Soxhlet,FU2 (UCMU21),R3,18,71.875,6.54,5.89928057553957
Soxhlet,FUSARIUM JULIAN H20,R1,20,70.58823529411765,7.11,-3.0434782608695645
Soxhlet,FUSARIUM JULIAN H20,R2,20,70.58823529411765,6.81,1.3043478260869672
Soxhlet,FUSARIUM JULIAN H20,R3,20,70.58823529411765,6.28,8.985507246376812
Soxhlet,FUSARIUM MARCE 1.2,R1,20,66.66666666666667,7.08,8.997429305912599
Soxhlet,FUSARIUM MARCE 1.2,R2,26,56.666666666666664,6.57,15.552699228791774
Soxhlet,FUSARIUM MARCE 1.2,R3,20,66.66666666666667,6.72,13.62467866323908
Ultrasonido,HC3,R1,35,48.529411764705884,6.96,9.610389610389614
Ultrasonido,HC3,R2,15,77.94117647058823,6.34,17.662337662337666
Ultrasonido,HC3,R3,31,54.411764705882355,7.67,0.38961038961039285
Ultrasonido,HC5,R1,14,69.56521739130434,7.69,-16.515151515151526
Ultrasonido,HC5,R2,14,69.56521739130434,7.61,-15.303030303030315
Ultrasonido,HC5,R3,22,52.17391304347826,7.65,-15.90909090909092
Ultrasonido,HC6,R1,37,31.48148148148148,7.23,2.691790040376841
Ultrasonido,HC6,R2,28,48.148148148148145,7.31,1.615074024226112
Ultrasonido,HC6,R3,37,31.48148148148148,7.33,1.3458950201884206
Ultrasonido,HC9,R1,26,59.375,7.73,-6.915629322268326
Ultrasonido,HC9,R2,26,59.375,6.48,10.373443983402488
Ultrasonido,HC9,R3,24,62.5,7.62,-5.3941908713692905
Ultrasonido,HC10,R1,24,60,7.27,-3.267045454545448
Ultrasonido,HC10,R2,24,60,7.49,-6.392045454545457
Ultrasonido,HC10,R3,32,46.666666666666664,7.76,-10.227272727272723
Ultrasonido,HC15,R1,26,56.666666666666664,8.08,-5.897771952817826
Ultrasonido,HC15,R2,24,60,7.95,-4.193971166448234
Ultrasonido,HC15,R3,34,43.333333333333336,8.01,-4.980340760157272
Ultrasonido,HC16,R1,24,58.62068965517241,8.1,-18.248175182481752
Ultrasonido,HC16,R2,18,68.96551724137932,8.09,-18.102189781021902
Ultrasonido,HC16,R3,32,44.827586206896555,8.65,-26.27737226277373
Ultrasonido,HC17,R1,37,50.666666666666664,7.52,2.0833333333333353
Ultrasonido,HC17,R2,26,65.33333333333333,7.46,2.8645833333333304
Ultrasonido,HC17,R3,36,52,7.29,5.0781249999999964
Ultrasonido,HC19,R1,30,34.78260869565217,7.45,-7.97101449275362
Ultrasonido,HC19,R2,26,43.47826086956522,7.32,-6.086956521739129
Ultrasonido,HC19,R3,34,26.08695652173913,7.85,-13.768115942028974
Ultrasonido,HC20,R1,20,56.52173913043478,7.63,0.6510416666666644
Ultrasonido,HC20,R2,20,56.52173913043478,7.46,2.8645833333333304
Ultrasonido,HC20,R3,28,39.130434782608695,7.64,0.5208333333333338
Ultrasonido,HC23,R1,26,55.172413793103445,6.9,4.564315352697096
Ultrasonido,HC23,R2,20,65.51724137931035,7.09,1.9363762102351392
Ultrasonido,HC23,R3,32,44.827586206896555,7.45,-3.04287690179806
Ultrasonido,HC26,R1,20,64.91228070175438,7.43,1.4588859416445665
Ultrasonido,HC26,R2,16,71.9298245614035,7.53,0.1326259946949574
Ultrasonido,HC26,R3,28,50.87719298245614,7.59,-0.6631299734747987
Ultrasonido,HC27,R1,30,40,7.92,-0.6353240152477742
Ultrasonido,HC27,R2,24,52,7.03,10.67344345616264
Ultrasonido,HC27,R3,34,32,8.13,-3.3036848792884457
Ultrasonido,HC28,R1,18,64,8.12,-7.692307692307681
Ultrasonido,HC28,R2,20,60,8,-6.10079575596817
Ultrasonido,HC28,R3,26,48,7.84,-3.978779840848804
Ultrasonido,H4B,R1,30,55.88235294117647,7.95,0.25094102885821296
Ultrasonido,H4B,R2,20,70.58823529411765,7.74,2.885821831869505
Ultrasonido,H4B,R3,30,55.88235294117647,7.95,0.25094102885821296
Ultrasonido,H6B,R1,30,53.84615384615385,6.93,12.720403022670034
Ultrasonido,H6B,R2,13,80,7.14,10.075566750629731
Ultrasonido,H6B,R3,29,55.38461538461539,7.93,0.12594458438288003
Ultrasonido,H4G,R1,30,44.44444444444444,7.74,-1.0443864229765023
Ultrasonido,H4G,R2,13,75.92592592592592,7.17,6.396866840731073
Ultrasonido,H4G,R3,28,48.148148148148145,7.85,-2.480417754569184
Ultrasonido,H8G,R1,19,36.666666666666664,6.85,-9.951845906902074
Ultrasonido,H8G,R2,19,36.666666666666664,7.4,-18.780096308186195
Ultrasonido,H8G,R3,17,43.333333333333336,7.32,-17.495987158908505
Ultrasonido,H11G,R1,19,26.923076923076923,6.51,-5.33980582524272
Ultrasonido,H11G,R2,12,53.84615384615385,6.72,-8.737864077669903
Ultrasonido,H11G,R3,18,30.76923076923077,7.07,-14.401294498381887
Ultrasonido,H1N,R1,20,60,7.52,-0.8042895442359197
Ultrasonido,H1N,R2,20,60,7.28,2.412868632707771
Ultrasonido,H1N,R3,32,36,7.2,3.485254691689005
Ultrasonido,H2N,R1,16,70.37037037037037,7.98,0.6226650062266368
Ultrasonido,H2N,R2,18,66.66666666666667,8.13,-1.245330012453318
Ultrasonido,H2N,R3,18,66.66666666666667,7.9,1.618929016189278
Ultrasonido,H3N,R1,20,60,7.44,2.872062663185375
Ultrasonido,H3N,R2,18,64,7.43,3.0026109660574467
Ultrasonido,H3N,R3,26,48,7.95,-3.7859007832898177
Ultrasonido,H4N,R1,20,65.51724137931035,6.81,3.267045454545461
Ultrasonido,H4N,R2,18,68.96551724137932,6.83,2.982954545454545
Ultrasonido,H4N,R3,26,55.172413793103445,7.18,-1.988636363636359
Ultrasonido,H5N,R1,20,66.66666666666667,7.11,8.494208494208486
Ultrasonido,H5N,R2,18,70,6.81,12.355212355212355
Ultrasonido,H5N,R3,30,50,6.82,12.226512226512218
Ultrasonido,H6N,R1,18,64,7.19,6.380208333333324
Ultrasonido,H6N,R2,18,64,6.18,19.53125
Ultrasonido,H6N,R3,24,52,7.52,2.0833333333333353
Ultrasonido,H8N,R1,36,51.351351351351354,7.23,5.736636245110815
Ultrasonido,H8N,R2,18,75.67567567567568,6.89,10.169491525423732
Ultrasonido,H8N,R3,32,56.75675675675676,7.18,6.388526727509781
Ultrasonido,H9N,R1,36,48.57142857142857,7.45,1.585204755614268
Ultrasonido,H9N,R2,18,74.28571428571429,7.24,4.359313077939235
Ultrasonido,H9N,R3,31,55.714285714285715,7.03,7.133421400264201
Ultrasonido,FU1,R1,35,45.3125,7.38,4.651162790697678
Ultrasonido,FU1,R2,24,62.5,7.51,2.9715762273901865
Ultrasonido,FU1,R3,37,42.1875,7.42,4.134366925064603
Ultrasonido,FU2 (UCMU21),R1,37,42.1875,6.65,4.316546762589925
Ultrasonido,FU2 (UCMU21),R2,36,43.75,7.41,-6.618705035971223
Ultrasonido,FU2 (UCMU21),R3,36,43.75,7.31,-5.1798561151079054
Ultrasonido,FUSARIUM JULIAN H20,R1,28,58.8235294117647,6.94,-0.5797101449275367
Ultrasonido,FUSARIUM JULIAN H20,R2,12,82.3529411764706,5.48,20.579710144927535
Ultrasonido,FUSARIUM JULIAN H20,R3,23,66.17647058823529,6.76,2.028985507246385
Ultrasonido,FUSARIUM MARCE 1.2,R1,34,43.333333333333336,7.2,7.455012853470437
Ultrasonido,FUSARIUM MARCE 1.2,R2,20,66.66666666666667,6.8,12.59640102827764
Ultrasonido,FUSARIUM MARCE 1.2,R3,36,40,7.09,8.868894601542422
