aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,crecimiento_mm,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen
HC3,maceracion,Grupo 3 - H19,3,1.0,26.0,100.0,,False,MACERACIÓN,5
HC5,maceracion,Grupo 1 - H1,1,1.0,36.0,60.869565217391305,65.21739130434783,False,MACERACIÓN,6
HC5,maceracion,Grupo 1 - H1,2,1.0,42.0,73.91304347826087,7.530655685082078,False,MACERACIÓN,7
HC5,maceracion,Grupo 1 - H1,3,1.0,40.0,60.869565217391305,,False,MACERACIÓN,8
HC6,maceracion,Grupo 4 - H28,1,1.0,44.0,70.37037037037037,67.90123456790123,False,MACERACIÓN,9
HC6,maceracion,Grupo 4 - H28,2,1.0,48.0,77.77777777777777,11.315001715940358,False,MACERACIÓN,10
HC6,maceracion,Grupo 4 - H28,3,1.0,44.0,55.55555555555556,,False,MACERACIÓN,11
HC9,maceracion,Grupo 4 - H20,1,1.0,,100.0,100.0,False,MACERACIÓN,12
HC9,maceracion,Grupo 4 - H20,2,1.0,,100.0,0.0,False,MACERACIÓN,13
HC9,maceracion,Grupo 4 - H20,3,1.0,,100.0,,False,MACERACIÓN,14
HC10,maceracion,Grupo 1 - H2,1,1.0,40.0,80.0,75.55555555555556,False,MACERACIÓN,15
HC10,maceracion,Grupo 1 - H2,2,1.0,50.0,76.66666666666667,5.091750772173156,False,MACERACIÓN,16
HC10,maceracion,Grupo 1 - H2,3,1.0,44.0,70.0,,False,MACERACIÓN,17
HC15,maceracion,Grupo 1 - H3,1,1.0,38.0,100.0,100.0,False,MACERACIÓN,18
HC15,maceracion,Grupo 1 - H3,2,1.0,44.0,100.0,0.0,False,MACERACIÓN,19
HC15,maceracion,Grupo 1 - H3,3,1.0,40.0,100.0,,False,MACERACIÓN,20
HC16,maceracion,Grupo 1 - H4,1,1.0,38.0,100.0,80.45977011494253,False,MACERACIÓN,21
HC16,maceracion,Grupo 1 - H4,2,1.0,40.0,75.86206896551724,17.69517737740307,False,MACERACIÓN,22
HC16,maceracion,Grupo 1 - H4,3,1.0,40.0,65.51724137931035,,False,MACERACIÓN,23
HC17,maceracion,Grupo 3 - H21,1,1.0,42.0,81.33333333333333,75.1111111111111,False,MACERACIÓN,24
HC17,maceracion,Grupo 3 - H21,2,1.0,42.0,65.33333333333333,8.572134009771517,False,MACERACIÓN,25
HC17,maceracion,Grupo 3 - H21,3,1.0,50.0,78.66666666666667,,False,MACERACIÓN,26
HC19,maceracion,Grupo 1 - H5,1,1.0,40.0,69.56521739130434,63.76811594202898,False,MACERACIÓN,27
