aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,conidias_log10,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen,conidias_crudo,control_conidias_log10,control_conidias_crudo
H1N,maceracion,Grupo 2 - H10,3,0.0,,42.35924932975871,,True,MACERACIÓN,62,,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,1,0.2,7.18,13.00268096514745,27.12243074173369,False,MACERACIÓN,60,15135612.484362071,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,2,0.2,7.0,26.00536193029491,14.710129455026571,False,MACERACIÓN,61,10000000.0,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,3,0.2,7.24,42.35924932975871,,False,MACERACIÓN,62,17378008.28749376,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,1,1.0,7.48,13.00268096514745,27.12243074173369,False,MACERACIÓN,60,30199517.20402019,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,2,1.0,6.98,26.00536193029491,14.710129455026571,False,MACERACIÓN,61,9549925.86021437,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,3,1.0,7.24,42.35924932975871,,False,MACERACIÓN,62,17378008.28749376,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,1,5.0,6.49,13.00268096514745,27.12243074173369,False,MACERACIÓN,60,3090295.432513592,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,2,5.0,5.52,26.00536193029491,14.710129455026571,False,MACERACIÓN,61,331131.1214825908,7.46,28840315.031266056
H1N,maceracion,Grupo 2 - H10,3,5.0,4.3,42.35924932975871,,False,MACERACIÓN,62,19952.62314968879,7.46,28840315.031266056
H2N,maceracion,Grupo 2 - H11,1,0.0,8.03,20.67247820672477,27.023661270236605,True,MACERACIÓN,63,107151930.52376048,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,2,0.0,,30.75965130759652,5.5287603687230575,True,MACERACIÓN,64,,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,3,0.0,,29.63885429638853,,True,MACERACIÓN,65,,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,1,0.2,7.64,20.67247820672477,27.023661270236605,False,MACERACIÓN,63,43651583.22401656,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,2,0.2,7.78,30.75965130759652,5.5287603687230575,False,MACERACIÓN,64,60255958.60743581,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,3,0.2,7.46,29.63885429638853,,False,MACERACIÓN,65,28840315.031266056,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,1,1.0,7.53,20.67247820672477,27.023661270236605,False,MACERACIÓN,63,33884415.61392027,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,2,1.0,7.16,30.75965130759652,5.5287603687230575,False,MACERACIÓN,64,14454397.70745928,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,3,1.0,7.3,29.63885429638853,,False,MACERACIÓN,65,19952623.149688788,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,1,5.0,6.37,20.67247820672477,27.023661270236605,False,MACERACIÓN,63,2344228.8153199228,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,2,5.0,5.56,30.75965130759652,5.5287603687230575,False,MACERACIÓN,64,363078.054770101,8.03,107151930.52376048
H2N,maceracion,Grupo 2 - H11,3,5.0,5.65,29.63885429638853,,False,MACERACIÓN,65,446683.5921509635,8.03,107151930.52376048
H3N,maceracion,Grupo 2 - H12,1,0.0,7.66,24.28198433420366,27.15404699738904,True,MACERACIÓN,66,45708818.96148752,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,2,0.0,,24.80417754569191,4.529856807545021,True,MACERACIÓN,67,,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,3,0.0,,32.375979112271544,,True,MACERACIÓN,68,,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,1,0.2,7.64,24.28198433420366,27.15404699738904,False,MACERACIÓN,66,43651583.22401656,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,2,0.2,7.52,24.80417754569191,4.529856807545021,False,MACERACIÓN,67,33113112.14825908,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,3,0.2,7.67,32.375979112271544,,False,MACERACIÓN,68,46773514.12871981,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,1,1.0,7.4,24.28198433420366,27.15404699738904,False,MACERACIÓN,66,25118864.315095823,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,2,1.0,7.4,24.80417754569191,4.529856807545021,False,MACERACIÓN,67,25118864.315095823,7.66,45708818.96148752
H3N,maceracion,Grupo 2 - H12,3,1.0,7.49,32.375979112271544,,False,MACERACIÓN,68,30902954.32513592,7.66,45708818.96148752
